O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,times
2.3030448429640836e-20,3.797757740684719e-10,1.6960905565861258e-9,9.903097191805629e-10,2.1594544755367963e-20,2.0395822207251585e-20,2.0716297938485857e-20,2.1102943109517137e-20,2.1059594573362167e-20,2.499999531014863e-7,1.0088045027055147e-7,2.509322091994599e-10,2.0716294278304278e-20,2.071629428744562e-20,2.071629926721672e-20,4.999999454419637e-10,2.0716294287445298e-20,2.100886307682746e-20,2.0716294287445298e-20,2.0716294287445298e-20,2.0716245928443794e-20,1.0683422783650234e-6,2.1029781921051624e-20,2.0716294287445253e-20,4.362766526851494e-9,2.071629428744576e-20,2.047103208108928e-20,2.071641847309344e-20,5.789908440369649e-11,-540.0
3.2047449572868504e-20,8.501133718248109e-11,8.349386743780682e-10,3.0942289001920047e-10,2.135869117979884e-16,3.6816049658326767e-35,1.3130654595591814e-16,2.691465433392666e-20,1.7889029108510513e-19,3.5370147887664205e-7,4.692065562751686e-8,2.1074396334599226e-10,1.8619866190681315e-19,6.438227985298543e-19,7.013607895439594e-20,7.074030132636916e-10,2.0081319767078128e-23,4.6920277208468146e-27,3.8228152109838243e-19,4.258674600414431e-20,5.008617115880911e-23,4.5148781978206817e-7,1.1736253232968825e-20,2.930954073346698e-20,2.573496798088454e-9,2.931059247634359e-20,9.555794191996956e-24,2.0067023530892847e-21,3.013166205759069e-11,-525.0
2.727319593133123e-20,4.7082606633792305e-11,7.278159668437498e-10,3.0767519332190775e-10,4.517674694264508e-17,4.759653481318586e-36,9.840111474780277e-17,8.294844502247695e-21,5.932219349604294e-20,3.574009635789142e-7,4.702813754479794e-8,1.662402819652535e-10,4.3589856679449045e-19,8.557806493875461e-19,6.252796040644577e-20,7.148019832436123e-10,4.0836638120941725e-24,1.0336143790747029e-27,2.422725580861734e-18,5.234778165763287e-20,2.6061361610176617e-28,4.515275270558555e-7,3.3513913594119113e-21,2.961609829089036e-20,2.5594823993731653e-9,2.9621454058806207e-20,2.2648186070307582e-25,4.744941566969916e-22,2.9980417540008854e-11,-510.0
1.0651595646323558e-20,3.841418655287235e-11,7.50158542620334e-10,3.224340809151172e-10,2.655752225643188e-17,1.0899195895410577e-36,6.928335438649257e-17,4.745342692974281e-21,3.7609067350435007e-20,3.6101538349801664e-7,4.718213337531125e-8,1.4706157105237055e-10,5.995531633317241e-19,1.101601450923749e-18,4.4933966400917393e-20,7.220308236446122e-10,7.222631277394638e-25,1.4794724060354915e-28,3.855241639015554e-18,6.090455196632496e-20,5.6970788284819855e-33,4.516293651018284e-7,2.0104353119668443e-21,2.9915606937643336e-20,2.7285135248681197e-9,2.992648881811537e-20,1.2029001041268653e-25,3.018328957666861e-22,3.124304459213689e-11,-495.0
1.132570004301248e-20,4.394442647788337e-11,7.640277563324069e-10,3.373569884171218e-10,2.5130220856420354e-17,7.942151978331882e-42,5.0218958671945605e-17,3.634861260130756e-21,2.797473642064519e-20,3.6463045874211995e-7,4.724210344141407e-8,1.3090910339948863e-10,7.327031957306917e-19,1.3190379594533938e-18,3.18849873234488e-20,7.292609746961795e-10,5.779013035081947e-25,1.0602135415354736e-28,5.1780369445454805e-18,6.809386672231825e-20,1.3825827452182648e-37,4.5167674340020784e-7,1.729979707251399e-21,3.0215169870649943e-20,2.767718772082351e-9,3.0232186803723e-20,1.0131225379685537e-25,2.9163025796088665e-22,3.1892552261135955e-11,-480.0
1.0978823912388223e-20,3.794899089242763e-11,8.081157701039268e-10,3.3366926527517846e-10,2.5022227356169136e-17,2.4626514870733667e-36,3.582751596735435e-17,3.248091597701757e-21,2.6545502345526776e-20,3.6811463504892855e-7,4.755122105373679e-8,1.2062296017427152e-10,8.867199971832088e-19,1.5962161577710917e-18,2.2227972325107335e-20,7.362293278519249e-10,6.301562041253563e-25,1.1976339688215762e-28,6.460928942760084e-18,7.579032284240903e-20,2.426593220434335e-42,4.5172302136429746e-7,1.524872097621035e-21,3.050388579206325e-20,2.8746183589714533e-9,3.052823447190883e-20,9.396525035811005e-26,2.5767194576812593e-22,3.3096364459190746e-11,-465.0
1.0090827435076597e-20,9.834435233550414e-12,8.240701986059782e-10,3.2888417942358375e-10,2.8975520964952315e-18,2.572530498512635e-39,3.356499712001936e-17,1.392358016862332e-21,9.131156884575712e-21,3.7158706735431717e-7,4.7650526106643965e-8,1.1277263185466668e-10,9.973271836451362e-19,1.5168098080313822e-18,1.8707303107468874e-20,7.431741930041128e-10,2.384705843630109e-25,3.6149181384986426e-29,5.86751572678176e-18,8.144467593417086e-20,7.538159302422052e-47,4.51832513938577e-7,5.626169121473034e-22,3.079162853138134e-20,2.9123753581880024e-9,3.0823556713260055e-20,1.37723703217675e-25,8.008424103228549e-23,3.326483559298584e-11,-450.0
9.971683049575282e-21,8.971524991106138e-12,8.439830081086942e-10,3.2348786878546225e-10,4.729560903035487e-18,4.175764496084866e-38,2.0657404067152195e-17,1.0567221037973283e-21,7.469118412071612e-21,3.7512895588853647e-7,4.77610876902258e-8,1.0471434184114947e-10,1.0079940233477727e-18,1.5183654884177778e-18,1.0528251620705649e-20,7.502579706286011e-10,1.2566832519326022e-25,1.0160062672564055e-29,6.117624238078327e-18,8.317599515376002e-20,7.634433904758856e-52,4.519481902731896e-7,4.607877113839922e-22,3.1085126754500026e-20,2.960262164928144e-9,3.1122846046213813e-20,2.8595309530192255e-26,7.326454121873728e-23,3.4327759410293486e-11,-435.0
1.0598355219093696e-20,8.755926031808679e-12,8.680925913389998e-10,3.3337963245584914e-10,4.576292242481036e-18,2.6378499458231515e-40,1.586272539883041e-17,8.526886614529095e-22,6.107987072899475e-21,3.7851294889151506e-7,4.7982074990735736e-8,9.78915752612024e-11,1.0162987447178729e-18,1.5302581063471966e-18,6.701517986995143e-21,7.570259571659543e-10,1.0098837378624624e-25,2.2288212423529956e-30,6.286576695862672e-18,8.483448356129823e-20,9.048909182332345e-57,4.521254395172765e-7,3.7787233916952266e-22,3.136554093304602e-20,2.9822570570648184e-9,3.140895060078504e-20,4.223596706322727e-26,6.039976022431489e-23,3.5405022106828766e-11,-420.0
1.0883514484604651e-20,8.53714928005857e-12,8.729893827863977e-10,2.9208078106167303e-10,4.6070529900450836e-18,9.691081280815268e-38,1.2635106090426839e-17,7.589436959586969e-22,5.814086910429986e-21,3.8192740183200714e-7,4.81920386107061e-8,9.743560807953679e-11,1.024607261965139e-18,1.5432327097301054e-18,4.6019732898555e-21,7.638548635828813e-10,1.1170571441962628e-25,9.083742789550351e-30,6.4153376728748155e-18,8.650540190360091e-20,3.278319525618594e-73,4.523183708443778e-7,3.5402862391483303e-22,3.164847905931432e-20,3.0384747050752845e-9,3.169766230831549e-20,1.399758207317388e-26,5.782403486350026e-23,3.608635428603716e-11,-405.0
1.230125773741414e-20,8.314263280496736e-12,1.1574406746400866e-9,4.0801018700265055e-10,3.942473695601449e-18,2.428727790019789e-41,9.93099942383192e-18,6.455186423026282e-22,3.347624222670934e-21,3.85228465294991e-7,4.823815542452969e-8,9.782886998027947e-11,1.0326705549553061e-18,1.555416284251029e-18,3.250531379908212e-21,7.70456991026739e-10,1.4296519697821478e-25,3.0700391035953086e-29,6.514874569793356e-18,8.813499543342643e-20,6.627935724719409e-78,4.5250739277665084e-7,1.7135769725419352e-22,3.192202129781739e-20,3.0995409938638643e-9,3.197707617219835e-20,2.6157953650980716e-26,4.116398725381669e-23,3.754270646467103e-11,-390.0
1.223039808516055e-20,8.030068106507313e-12,1.1216070020749254e-9,4.125024079114428e-10,3.881435220175704e-18,2.5787685699629197e-37,8.1161497697469e-18,4.594943763623277e-22,2.621020453664066e-21,3.8855297837478495e-7,4.833697826465207e-8,9.9026740530865e-11,1.0411555942042972e-18,1.5696748794717408e-18,2.4437063271589567e-21,7.771060177073628e-10,9.95650634385221e-26,1.1516800737359958e-30,6.609063351006418e-18,8.980501548942887e-20,1.6082528661026004e-93,4.5273648396414337e-7,1.4751821370014187e-22,3.2197506693414824e-20,3.1311358990149718e-9,3.225851029730044e-20,2.9783468869827633e-26,2.912271655984067e-23,3.7623616728314294e-11,-375.0
1.0910565062165786e-20,7.771826198935876e-12,1.1257818582875875e-9,3.623763371769162e-10,4.186281665217118e-18,2.8272456848285246e-26,7.223065218351697e-18,1.1281503055435456e-16,6.778823199530387e-16,3.918132209791614e-7,4.8531161337722996e-8,1.0025717003556222e-10,7.024470254524303e-16,2.4114221699835335e-16,9.758224368856221e-17,7.836264894946701e-10,2.235155656820358e-20,5.411322796229227e-24,6.7120146272398906e-18,1.7033983964565307e-17,3.7421003394075443e-98,4.530086796507641e-7,3.545344482607197e-17,3.246854589753356e-20,3.151621466251704e-9,1.7261937688272445e-19,8.988290923972727e-21,6.624328353592308e-18,3.844042231768358e-11,-360.0
1.1186561623252402e-20,7.528761557412168e-12,1.1545345803761737e-9,3.7630234079892915e-10,4.109406946468427e-18,2.244271459985745e-26,6.96972875814448e-18,7.892974987474043e-17,5.498659787431693e-16,3.95059859633582e-7,4.856861213762259e-8,9.946915274265879e-11,3.2013452975254624e-15,1.0330424464883682e-15,2.918850421605573e-16,7.901197233420616e-10,1.0770176998139884e-20,2.423842579922419e-24,6.8667648373031526e-18,7.79574128081464e-17,4.261554756282553e-110,4.5329360804727457e-7,3.6875960165390674e-17,3.273895850014161e-20,3.224264367716535e-9,7.756842997633739e-19,4.709507711382313e-21,6.820918269204055e-18,3.9168434830656936e-11,-345.0
9.956106639911932e-21,7.281295734800722e-12,1.5050942555431002e-9,2.7993223754589025e-10,3.4150804824524343e-18,1.72661648393673e-26,6.0917837404573985e-18,4.064991453771405e-17,2.507135670963206e-16,3.9825774600810197e-7,4.8733650066765604e-8,9.926689840163618e-11,6.186124090927744e-15,1.918203141707672e-15,2.104675291295587e-16,7.965154464077512e-10,7.695479189180121e-21,1.8040042276782644e-24,7.105853941214444e-18,1.27955881584651e-16,1.6927901398042896e-114,4.537202796691416e-7,1.2821931367643884e-17,3.300655896940112e-20,3.2233185996242685e-9,1.5424838072825377e-18,1.7364596973220717e-21,2.1241448957205564e-18,3.968570780781389e-11,-330.0
8.128394924620285e-21,6.9849811555246556e-12,1.2310776675298807e-9,2.593525734127694e-10,2.598937304459203e-18,1.1897097797290048e-26,4.671244026732496e-18,3.648519212552023e-17,3.2218383737321673e-16,4.0126169625225207e-7,4.2314746562637344e-8,9.677730378375153e-11,9.637752984388852e-15,2.395492185121532e-15,1.6629528642613918e-16,8.025233093761907e-10,1.398173369221349e-20,3.385045725159769e-24,7.30385759611914e-18,1.7982126576398253e-16,1.0079497952265571e-125,4.602877206520951e-7,1.8322468659364126e-17,3.326176042434531e-20,2.3934400494467402e-9,2.107291016950602e-18,2.9193942710744894e-21,3.70729238451009e-18,3.546418063890357e-11,-315.0
1.1293114383966368e-20,6.731282709810867e-12,7.450608133839964e-10,3.5737043746062265e-10,2.4042743955150192e-18,9.53676198183458e-27,3.610807105078598e-18,4.101947942351035e-17,2.230535416569719e-16,4.038735090060281e-7,3.785966495722329e-8,9.619963641478584e-11,1.1966307919273613e-14,2.823874838378622e-15,1.2010810391759733e-16,8.077468997655489e-10,7.465760595731093e-21,1.6455733601962008e-24,7.536804611464655e-18,2.3628553806245546e-16,6.538769289844954e-129,4.662915220904013e-7,1.6761254377764984e-17,3.348486564557192e-20,1.9769642852287114e-9,2.648649690920273e-18,1.1524975394064292e-21,2.7379348200610984e-18,3.2642377600464086e-11,-300.0
1.5018641019742184e-20,6.581779685059602e-12,4.3918592538509937e-10,4.63050171533967e-10,9.347796473055835e-18,1.133029532466633e-26,8.720641425060709e-18,6.242896453070226e-17,5.570665818270855e-16,4.063455449851303e-7,3.6099039811475014e-8,9.59375495461238e-11,1.3366243749087717e-14,3.5879323095250595e-15,2.8738479347489735e-16,8.126909195602052e-10,2.6534799515104897e-20,5.880157547664012e-24,7.97172643190123e-18,2.933663436945708e-16,2.966339729639677e-138,4.709417056720971e-7,4.80510617076115e-17,3.36989074741301e-20,1.7300902673097472e-9,3.237801573370059e-18,2.6586295481136853e-21,1.0803489803960942e-17,3.298936674163227e-11,-285.0
1.6170186601815163e-20,7.609637748903983e-12,3.985562166512267e-10,5.109069796923372e-10,1.9144173794932373e-17,1.0609900216125775e-26,2.794439332530751e-17,3.913934272891122e-17,6.645648845348651e-16,4.082736714770114e-7,3.493390017511299e-8,1.0000323157349736e-10,1.4122160848776786e-14,4.654893036201123e-15,6.431001385852481e-16,8.165471121036582e-10,9.501923198239006e-21,1.7792120326877564e-24,8.74634226452195e-18,3.518154399784847e-16,1.552663862085059e-141,4.751279045364657e-7,6.650287153236068e-17,3.389129861212604e-20,1.55611142719764e-9,3.815738072100822e-18,2.1745656535259155e-21,2.3735479762877156e-17,3.2586731890241024e-11,-270.0
1.8537063275126288e-20,1.2297042221536381e-11,3.888980846070345e-10,4.927271317123431e-10,1.8737088599074205e-17,3.9479703263494035e-26,4.70424501044434e-17,9.231205515500072e-17,8.162536928801359e-16,4.1043921663624237e-7,3.395970717586583e-8,1.0061110078876252e-10,1.4846426316180008e-14,5.865595052802656e-15,7.985238040429675e-16,8.20878141123734e-10,1.5405962260889854e-20,3.3528351003923524e-24,1.0145412551803752e-17,4.221206947516143e-16,2.2069953847665602e-150,4.7815710318529e-7,6.98361176151871e-17,3.416310839216505e-20,1.3570165837300316e-9,4.411107381100322e-18,1.6274340937041485e-21,2.6223430006484196e-17,3.198727552785074e-11,-255.0
2.3060245077573597e-20,1.809308966446792e-11,3.493313289544528e-10,5.083584421961428e-10,2.946488875993848e-17,1.296386760064822e-25,7.071482662495444e-17,1.5586866409598263e-16,1.1645338665484923e-15,4.128139771623836e-7,3.2997872016862316e-8,1.0191730050584394e-10,1.582600863731861e-14,7.392409955622318e-15,9.427695307871582e-16,8.256275861824253e-10,2.890576796353036e-20,7.668330525055013e-24,1.2753743394477959e-17,5.064783280200146e-16,5.1828145105523396e-154,4.799436260445399e-7,1.2536851609601948e-16,3.4626214714691054e-20,1.2611761732409984e-9,5.179931291408321e-18,2.3475111518314424e-21,4.376020481976895e-17,3.273155457475312e-11,-240.0
3.139918130275767e-20,2.531707844288904e-11,3.0750750028910116e-10,5.230649507876228e-10,4.764071331672418e-17,3.2028890779951293e-26,1.2403887695414195e-16,1.2023551926214825e-16,6.738390524942643e-16,4.156364530666616e-7,3.238681957081232e-8,1.0212606012748757e-10,1.6904438132210672e-14,9.26766418843774e-15,1.2257007808707599e-15,8.31272448311992e-10,4.982734897487157e-20,1.211210814062093e-23,1.6700181928249997e-17,6.087208818952953e-16,0.0,4.803419191358985e-7,7.058492460144046e-17,3.552813011776454e-20,1.2005142302244195e-9,6.167758411233275e-18,4.383064498596157e-21,3.1241662252984194e-17,3.169519749350509e-11,-225.0
2.084384381096817e-20,6.108290246946105e-11,2.90772897391069e-10,5.300719058212835e-10,1.2397059409235463e-16,1.6832503174572237e-25,2.0878147620191789e-16,6.364272832861005e-17,6.441888909982521e-16,4.1851234699758823e-7,3.198893693973344e-8,1.0396346971524101e-10,1.766476900087701e-14,1.0776323641311697e-14,1.0317257986888626e-15,8.370241528111008e-10,1.897069608760152e-20,4.516243738178538e-24,2.2476245961604244e-17,7.001411347919665e-16,0.0,4.805480401032874e-7,1.0485344728816559e-16,3.633992485280586e-20,1.101406285545139e-9,6.991476032364597e-18,3.011998776302272e-21,4.008032161461296e-17,3.020196820373249e-11,-210.0
2.177618268171244e-20,8.152793542798263e-11,2.6984165936742663e-10,5.380214414853817e-10,1.840092377551896e-16,2.529055842142399e-25,5.205221574259323e-16,1.0914179554097934e-16,9.973457952294582e-16,4.2147516560109087e-7,3.175774141435935e-8,1.0504223181427998e-10,1.864639106991401e-14,1.2866537303083662e-14,1.1199387781218739e-15,8.429496905056136e-10,1.8333219779748663e-20,3.915378504409416e-24,3.5746829244943824e-17,8.159153139049298e-16,0.0,4.811162565287919e-7,1.3746358553727964e-16,3.762293763476898e-20,1.126273282306059e-9,8.024917595313474e-18,2.560315752880195e-21,4.759160951475895e-17,2.9967173365882546e-11,-195.0
2.588523083503266e-20,1.0069640185251283e-10,2.665340751072808e-10,5.519582117602901e-10,2.4126592329006754e-16,1.7103533286051528e-25,8.182002280255111e-16,1.1029034400867833e-16,7.5659048340010365e-16,4.24312594385155e-7,3.174599459120738e-8,1.0434382319710211e-10,1.964550205472092e-14,1.516629505988898e-14,1.3905606908036342e-15,8.486244358353667e-10,3.696579203933062e-20,9.156769256129053e-24,5.3604867341225254e-17,9.430578368309714e-16,0.0,4.818808431456994e-7,1.0386404889324579e-16,3.953814917875058e-20,1.0224080426726178e-9,9.195992052401654e-18,2.6310616323422807e-21,3.939623298529136e-17,2.8777180350154918e-11,-180.0
2.2477966595009777e-20,1.1656039849241177e-10,2.783598402791173e-10,5.498744066254597e-10,2.7208647004936987e-16,2.343289324662986e-25,1.0824107236534725e-15,7.88971105059537e-17,7.701154902815172e-16,4.270708678415986e-7,3.199006086562541e-8,1.0646097862807758e-10,2.0604833328954524e-14,1.743210784358165e-14,1.2026473249857059e-15,8.541408710243037e-10,2.0571066092192083e-20,4.062356828344509e-24,7.759457579145653e-17,1.0657387229648975e-15,0.0,4.824018689510371e-7,1.0325739316176399e-16,4.137784940321399e-20,1.052685172032074e-9,1.034579509265578e-17,2.628272702690164e-21,3.8938557930852473e-17,2.9263488288099545e-11,-165.0
2.6425580925866087e-20,1.7179017528549225e-10,2.786602271146529e-10,5.603394745327281e-10,4.044761165008048e-16,4.83584770160369e-25,1.1501434835326362e-15,1.4458445738744063e-16,1.105959463312659e-15,4.298883554524742e-7,3.217041965973391e-8,1.0791372692992579e-10,2.1793897364372318e-14,2.006276457651744e-14,1.1901160445223073e-15,8.597757222744246e-10,2.81268477970985e-20,6.2096029130215885e-24,1.058047431071452e-16,1.2066715307121616e-15,0.0,4.823609254895015e-7,1.552624429479177e-16,4.351555160333663e-20,1.0852982374670245e-9,1.1631165385596711e-17,2.8024854895577776e-21,5.479467011203926e-17,2.8005674769485207e-11,-150.0
3.542248898416934e-20,2.4706944145320816e-10,2.8696858314703126e-10,5.768648559792824e-10,5.809583290162564e-16,4.0222355389968685e-25,1.5781794248543868e-15,1.5644627757880966e-16,1.0414948045318903e-15,4.3267456819113047e-7,3.3041899413502344e-8,1.0821805328329988e-10,2.3335012868842714e-14,2.3551855156249208e-14,1.6661488830251225e-15,8.653479955554375e-10,3.4376684938550957e-20,6.978408577453395e-24,1.4890299785435136e-16,1.385991792502223e-15,0.0,4.817545501574236e-7,1.4939545716836278e-16,4.7141183888025934e-20,1.0162133985256502e-9,1.3339437892268947e-17,4.3704397504548514e-21,5.944133761977796e-17,2.8043098560292732e-11,-135.0
3.3776359572874316e-20,3.283403381624565e-10,2.9445122915659083e-10,6.032976259573406e-10,7.802640564326066e-16,7.473344559878775e-25,2.426496731778203e-15,1.4970468036398278e-16,1.1338002932941502e-15,4.3543004716228615e-7,3.434097048303954e-8,1.0847290424223344e-10,2.506037099400771e-14,2.7408939825212662e-14,1.645684816477045e-15,8.708587870803651e-10,3.1430358479817955e-20,5.726289732603141e-24,2.06526234272794e-16,1.5810807269920307e-15,0.0,4.806493047823515e-7,1.6008594208636546e-16,5.107587566392916e-20,1.0298250997940054e-9,1.518889920086886e-17,4.460092106906473e-21,6.597230725186287e-17,2.851471703437057e-11,-120.0
4.534695907443226e-20,2.9975741878291487e-10,3.163967687946776e-10,6.214819996834976e-10,6.897235240121312e-16,8.821509529963882e-25,3.586231657649373e-15,2.941611660255668e-16,2.2667038778604542e-15,4.3820261847053084e-7,3.6585529479283164e-8,1.0899872014285391e-10,2.740258109773549e-14,3.268986442975305e-14,2.3857785842322898e-15,8.76403721987383e-10,4.585309087890374e-20,7.826843751426272e-24,2.8265340160052063e-16,1.8325137591149036e-15,0.0,4.795748338061631e-7,3.3521439862228423e-16,5.677394057304593e-20,9.650418506553487e-10,1.7440227240704152e-17,8.19198901888878e-21,1.3770316116439483e-16,2.8153457791202724e-11,-105.0
